ADAC	Attitude Determination & Control 
ADC	Analog to Digital Converter
ADCS	Attitude Determination & Control System
AFSK	Audio Frequency Shift Keying
AGC	Automatic Gain Control
AI	Artificial Intelligence
ALCON	All Concerned
AMCOM	AMSAT Commands (software program)	
AMSAT	Radio Amateur Satellite Corporation
APT	Average Power Tracking
ASCENT	Advanced Satellite Communications and Exploration of New Technology
ASCII	American Std Code for Info Interchange
ASD	Acceleration Spectral Density (vibration)
APIC	    Auxiliary Payload Integration Contractor
APT		    Average Power Tracking (TX)
ATP            Acceptance Test Procedure
AU		   Astronomical Unit (~150 Million meters)
BER		    Bit Error Rate
BPSK          Binary Phase Shift Keying
BMS	    Battery Management System (EPS)
BOB		    Break Out Board
BOL		    Beginning Of Life (on orbit)
BPF		    Band Pass Filter
CAC		   CubeSat Acceptance Checklist
CAD		   Computer Aided Design
CAN           Controller Area Networking (Bus)
CC	CubeComputer (ADCS OBC)
CCD	Charge Coupled Device
C&DH	Control and Data Handling (OBC)
CDR           Critical Design Review
CDS	CubeSat Design Specification
CFR	Code of Federal Regulations
CG/M	Center of Gravity/Mass
CIR	CubeSat Interface Review
CIU	Central Interface Unit
CONOPS   Concept of Operations
COTS	   Commercial Off The Shelf
CMD           Command
CMOS	Complementary Metal Oxide Semiconductor (Integrated Circuit)
CQC	Cube Quest Challenge
CRADA	Cooperative Research and Development Agreement
CRC`	Cyclic Redundancy Check
CSLI	CubeSat Launch Initiative
CSS	Coarse Sun Sensor
CVCM	Collected Volatile Condensable Material (<0.1% Outgassing)
CW             Continuous Wave (Morse Code)
CXR		    (RF) Carrier
dB               deci-Bel
dBc             dB’s below Carrier
dBm            dB’s relative to 1mW
DAC		    Digital Analog Converter
DAS		    Debris Assessment Software (NASA)
DC              Direct Current
DCR	    Direct Current Resistance
DCT		    Digital Comm. Transceiver (RT-IHU)
DITL	    Day In The Life (testing)
DLC            Data Length Code
DoF		    Degrees of Freedom
DMA	    Direct Memory Access
DR		    Dynamic Range
DRAM	    Dynamic Random Access Memory
DSN		    Deep Space Network	
EAR            Export Administration Regulations
ECAD	    Electronic Computer Aided Design
ECC		    Error Correction Coding
EEE		    Electrical, Electronic, Electromechanical
EEPROM    Electrically Erasable Read Only Memory
